date,anz,cba,nab,wbc,xaoai,xfjai
02-Jan-92,-0.0126,-0.0025,-0.0025,-0.0054,-0.0011,
03-Jan-92,-0.0021,0.0000,0.0038,0.0000,0.0070,
06-Jan-92,0.0126,0.0025,0.0112,-0.0022,0.0094,
07-Jan-92,0.0021,-0.0038,0.0025,-0.0159,-0.0044,
08-Jan-92,0.0041,-0.0013,0.0037,-0.0208,-0.0025,
09-Jan-92,0.0021,0.0025,0.0061,0.0139,-0.0008,
10-Jan-92,0.0082,0.0000,0.0000,0.0160,0.0036,
13-Jan-92,-0.0082,-0.0192,-0.0098,-0.0160,-0.0043,
14-Jan-92,-0.0188,-0.0117,-0.0050,-0.0116,-0.0054,
15-Jan-92,0.0126,0.0181,0.0086,0.0139,0.0143,
16-Jan-92,-0.0295,-0.0260,0.0000,-0.0162,-0.0013,
17-Jan-92,-0.0021,-0.0240,-0.0049,-0.0094,0.0000,
20-Jan-92,-0.0065,-0.0081,0.0049,-0.0142,-0.0036,
21-Jan-92,-0.0307,0.0027,-0.0161,-0.0048,-0.0125,
22-Jan-92,-0.0067,0.0081,-0.0164,0.0072,-0.0094,
23-Jan-92,0.0067,0.0013,-0.0077,0.0048,0.0025,
24-Jan-92,-0.0271,-0.0054,-0.0273,-0.0167,-0.0121,
27-Jan-92,0.0000,0.0000,0.0000,0.0000,0.0000,
28-Jan-92,0.0181,0.0000,0.0092,0.0048,0.0064,
29-Jan-92,-0.0390,-0.0014,-0.0065,-0.0169,-0.0023,
30-Jan-92,-0.0189,-0.0095,-0.0119,-0.0197,-0.0061,
31-Jan-92,0.0000,-0.0014,0.0093,0.0390,0.0066,
03-Feb-92,-0.0072,-0.0069,-0.0066,0.0000,-0.0071,
04-Feb-92,-0.0145,-0.0152,-0.0120,0.0024,-0.0066,
05-Feb-92,0.0024,-0.0056,0.0027,-0.0024,0.0017,
06-Feb-92,-0.0024,-0.0099,0.0027,0.0095,-0.0048,
07-Feb-92,-0.0098,-0.0201,0.0000,0.0024,-0.0019,
10-Feb-92,-0.0049,0.0299,0.0053,0.0000,0.0025,
11-Feb-92,0.0123,0.0208,0.0053,0.0118,0.0129,
12-Feb-92,0.0000,-0.0097,-0.0146,-0.0213,0.0010,
13-Feb-92,0.0033,-0.0056,0.0013,-0.0048,0.0035,
14-Feb-92,-0.0149,-0.0141,-0.0081,-0.0194,-0.0024,
17-Feb-92,0.0050,0.0056,0.0040,-0.0049,-0.0029,
18-Feb-92,0.0025,0.0042,0.0027,0.0025,0.0080,
19-Feb-92,0.0025,0.0098,0.0000,-0.0025,-0.0030,
20-Feb-92,0.0025,0.0083,-0.0054,-0.0025,0.0004,
21-Feb-92,0.0000,-0.0041,0.0013,-0.0124,-0.0009,
24-Feb-92,0.0000,0.0096,0.0027,0.0025,0.0034,
25-Feb-92,0.0074,0.0190,0.0160,0.0197,0.0082,
26-Feb-92,0.0146,0.0013,0.0026,-0.0049,-0.0009,
27-Feb-92,-0.0097,-0.0054,-0.0079,-0.0173,-0.0089,
28-Feb-92,-0.0024,0.0040,-0.0093,0.0025,-0.0056,
02-Mar-92,0.0122,0.0147,0.0146,0.0197,0.0070,
03-Mar-92,-0.0073,0.0079,-0.0093,-0.0098,-0.0023,
04-Mar-92,-0.0073,-0.0146,-0.0040,-0.0249,-0.0040,
05-Mar-92,0.0000,0.0053,-0.0013,-0.0051,-0.0041,
06-Mar-92,0.0000,-0.0013,-0.0040,-0.0231,-0.0020,
09-Mar-92,0.0000,-0.0040,0.0013,-0.0026,-0.0040,
10-Mar-92,0.0000,0.0013,0.0027,0.0206,0.0045,
11-Mar-92,-0.0049,-0.0080,-0.0040,-0.0026,0.0024,
12-Mar-92,-0.0199,-0.0040,-0.0122,-0.0181,-0.0107,
13-Mar-92,0.0000,-0.0027,0.0000,0.0000,-0.0017,
16-Mar-92,0.0050,-0.0054,-0.0068,-0.0078,-0.0003,
17-Mar-92,-0.0279,-0.0109,-0.0069,-0.0026,-0.0050,
18-Mar-92,-0.0026,0.0000,0.0000,-0.0026,-0.0068,
19-Mar-92,-0.0026,0.0014,0.0096,0.0105,0.0027,
20-Mar-92,0.0179,-0.0014,0.0054,0.0181,0.0080,
23-Mar-92,0.0025,-0.0014,0.0054,-0.0026,0.0018,
24-Mar-92,0.0000,0.0027,0.0027,-0.0077,-0.0021,
25-Mar-92,-0.0025,0.0027,-0.0041,-0.0157,-0.0009,
26-Mar-92,-0.0205,-0.0027,-0.0027,-0.0321,-0.0064,
27-Mar-92,-0.0026,0.0000,0.0068,0.0081,0.0033,
30-Mar-92,0.0000,0.0000,-0.0027,0.0027,-0.0019,
31-Mar-92,0.0129,0.0082,-0.0054,0.0107,0.0061,
01-Apr-92,0.0051,-0.0096,-0.0082,-0.0188,-0.0052,
02-Apr-92,-0.0051,-0.0071,-0.0138,-0.0192,-0.0073,
03-Apr-92,0.0000,0.0014,0.0000,-0.0028,0.0032,
06-Apr-92,0.0278,0.0113,0.0028,0.0110,0.0073,
07-Apr-92,0.0050,0.0042,0.0028,0.0163,0.0048,
08-Apr-92,-0.0175,-0.0127,-0.0083,-0.0329,-0.0182,
09-Apr-92,0.0050,-0.0014,0.0000,-0.0112,-0.0058,
10-Apr-92,0.0346,0.0155,0.0166,0.0250,0.0244,
13-Apr-92,-0.0122,0.0000,-0.0083,-0.0110,-0.0075,
14-Apr-92,-0.0099,-0.0014,-0.0055,-0.0056,-0.0028,
15-Apr-92,0.0099,0.0070,-0.0042,0.0111,0.0096,
16-Apr-92,0.0122,0.0014,-0.0028,0.0055,0.0059,
17-Apr-92,0.0000,0.0000,0.0000,0.0000,0.0000,
20-Apr-92,0.0000,0.0000,0.0000,0.0000,0.0000,
21-Apr-92,0.0048,-0.0056,0.0000,0.0082,-0.0012,
22-Apr-92,0.0072,0.0056,0.0056,0.0189,0.0069,
23-Apr-92,0.0024,0.0028,0.0152,0.0159,0.0055,
24-Apr-92,0.0072,0.0069,0.0203,0.0157,0.0011,
27-Apr-92,-0.0048,-0.0014,-0.0108,-0.0104,-0.0042,
28-Apr-92,0.0119,0.0082,0.0135,0.0104,0.0018,
29-Apr-92,0.0279,0.0149,0.0146,0.0306,0.0152,
30-Apr-92,0.0182,0.0160,0.0131,0.0174,0.0168,
01-May-92,0.0090,0.0053,0.0104,0.0000,0.0056,
04-May-92,0.0089,-0.0026,0.0039,0.0123,-0.0003,
05-May-92,-0.0134,0.0066,0.0000,0.0049,0.0008,
06-May-92,0.0134,0.0026,0.0064,0.0263,0.0021,
07-May-92,0.0000,-0.0026,-0.0077,0.0187,0.0000,
08-May-92,-0.0044,-0.0026,-0.0039,-0.0187,-0.0014,
11-May-92,-0.0225,-0.0013,-0.0065,-0.0071,-0.0009,
12-May-92,0.0045,-0.0026,0.0090,-0.0024,0.0096,
13-May-92,0.0000,-0.0013,0.0039,-0.0096,0.0035,
14-May-92,-0.0023,0.0040,0.0064,-0.0073,-0.0018,
15-May-92,-0.0023,-0.0026,0.0089,-0.0472,-0.0113,
18-May-92,0.0068,0.0079,0.0163,0.0177,0.0047,
19-May-92,-0.0159,0.0104,-0.0125,-0.0151,-0.0013,
20-May-92,0.0091,0.0103,-0.0025,-0.0128,0.0095,
21-May-92,-0.0023,-0.0064,0.0050,-0.0447,0.0007,
22-May-92,-0.0046,-0.0013,0.0013,-0.0054,0.0011,
25-May-92,-0.0161,0.0052,0.0000,-0.0054,-0.0003,
26-May-92,-0.0117,0.0026,-0.0025,-0.0137,-0.0059,
27-May-92,0.0117,-0.0064,-0.0038,-0.0308,-0.0050,
28-May-92,-0.0023,0.0013,0.0000,-0.0028,0.0064,
29-May-92,-0.0094,-0.0104,0.0088,-0.0029,0.0015,
01-Jun-92,-0.0190,-0.0039,-0.0025,-0.0115,-0.0024,
02-Jun-92,0.0048,-0.0066,0.0013,0.0115,0.0013,
03-Jun-92,-0.0024,-0.0132,-0.0025,0.0057,0.0012,
04-Jun-92,-0.0048,-0.0067,-0.0038,0.0085,-0.0014,
05-Jun-92,-0.0097,0.0040,-0.0013,0.0056,-0.0013,
08-Jun-92,0.0000,0.0000,0.0000,0.0000,0.0000,
09-Jun-92,0.0000,0.0106,0.0050,0.0000,0.0001,
10-Jun-92,-0.0098,-0.0282,-0.0038,0.0194,-0.0044,
11-Jun-92,0.0000,-0.0082,-0.0063,-0.0406,-0.0030,
12-Jun-92,0.0049,0.0000,0.0000,-0.0030,-0.0039,
15-Jun-92,0.0000,-0.0014,-0.0039,-0.0149,-0.0031,
16-Jun-92,-0.0050,-0.0041,0.0000,-0.0182,-0.0050,
17-Jun-92,-0.0203,-0.0014,-0.0119,0.0061,-0.0057,
18-Jun-92,-0.0051,0.0041,-0.0040,-0.0031,-0.0037,
19-Jun-92,0.0026,-0.0041,0.0093,0.0182,0.0056,
22-Jun-92,0.0051,-0.0055,0.0013,0.0060,0.0019,
23-Jun-92,-0.0026,0.0000,0.0026,0.0148,0.0039,
24-Jun-92,0.0000,0.0028,0.0039,0.0146,0.0020,
25-Jun-92,0.0000,0.0000,0.0013,0.0087,-0.0018,
26-Jun-92,-0.0129,-0.0111,-0.0079,-0.0174,-0.0016,
29-Jun-92,-0.0131,0.0056,0.0066,0.0087,0.0003,
30-Jun-92,0.0105,-0.0028,0.0078,-0.0029,0.0019,
01-Jul-92,0.0282,0.0056,0.0090,0.0144,0.0016,
02-Jul-92,0.0126,0.0124,0.0140,0.0086,0.0087,
03-Jul-92,0.0075,0.0041,0.0051,-0.0143,0.0010,
06-Jul-92,0.0050,0.0082,0.0050,0.0000,0.0002,
07-Jul-92,-0.0025,0.0000,-0.0013,0.0029,-0.0019,
08-Jul-92,-0.0276,-0.0068,-0.0013,-0.0262,-0.0055,
09-Jul-92,-0.0102,0.0041,-0.0025,-0.0209,-0.0060,
10-Jul-92,-0.0155,-0.0082,0.0000,0.0060,0.0017,
13-Jul-92,-0.0158,-0.0083,-0.0025,0.0030,-0.0037,
14-Jul-92,-0.0134,0.0000,0.0038,-0.0090,-0.0003,
15-Jul-92,0.0080,-0.0042,0.0025,-0.0030,-0.0011,
16-Jul-92,-0.0188,0.0000,0.0013,-0.0030,0.0016,
17-Jul-92,-0.0220,-0.0042,-0.0088,-0.0153,-0.0061,
20-Jul-92,-0.0056,-0.0126,-0.0153,-0.0249,-0.0165,
21-Jul-92,0.0028,0.0070,0.0102,-0.0095,0.0026,
22-Jul-92,-0.0169,-0.0014,0.0051,-0.0096,-0.0009,
23-Jul-92,0.0056,0.0014,-0.0089,0.0096,0.0021,
24-Jul-92,0.0056,0.0028,0.0000,0.0000,-0.0006,
27-Jul-92,0.0028,-0.0014,-0.0051,0.0000,-0.0020,
28-Jul-92,0.0111,0.0000,0.0013,0.0000,-0.0002,
29-Jul-92,0.0083,0.0014,0.0115,0.0063,0.0040,
30-Jul-92,0.0163,0.0056,0.0151,0.0126,0.0048,
31-Jul-92,0.0054,0.0000,-0.0012,0.0093,-0.0019,
03-Aug-92,-0.0162,0.0028,-0.0025,0.0092,-0.0003,
04-Aug-92,-0.0417,-0.0014,-0.0013,-0.0031,-0.0033,
05-Aug-92,-0.0114,-0.0028,-0.0038,-0.0218,-0.0048,
06-Aug-92,-0.0203,-0.0154,-0.0101,-0.0127,-0.0107,
07-Aug-92,0.0058,0.0000,-0.0077,0.0000,-0.0014,
10-Aug-92,0.0145,0.0028,0.0064,0.0000,0.0042,
11-Aug-92,0.0057,-0.0028,-0.0090,-0.0128,-0.0035,
12-Aug-92,-0.0202,-0.0345,-0.0182,-0.0395,-0.0112,
13-Aug-92,0.0116,0.0015,-0.0052,0.0000,-0.0014,
14-Aug-92,-0.0263,-0.0044,-0.0119,0.0000,-0.0128,
17-Aug-92,-0.0119,0.0044,0.0013,0.0067,0.0069,
18-Aug-92,-0.0242,0.0029,0.0000,0.0056,0.0034,
19-Aug-92,-0.0123,0.0116,0.0000,-0.0134,-0.0024,
20-Aug-92,-0.0315,0.0000,-0.0067,0.0000,-0.0053,
21-Aug-92,0.0284,0.0000,-0.0054,0.0034,0.0041,
24-Aug-92,-0.0031,-0.0145,-0.0122,-0.0135,-0.0134,
25-Aug-92,-0.0253,-0.0236,-0.0165,-0.0103,-0.0149,
26-Aug-92,0.0315,0.0266,0.0110,0.0137,0.0120,
27-Aug-92,0.0215,-0.0015,0.0190,0.0000,0.0061,
28-Aug-92,-0.0092,0.0073,0.0067,0.0034,0.0071,
31-Aug-92,-0.0123,-0.0073,-0.0027,0.0000,-0.0045,
01-Sep-92,-0.0031,-0.0015,0.0027,-0.0034,-0.0044,
02-Sep-92,-0.0157,-0.0132,-0.0134,-0.0137,-0.0092,
03-Sep-92,-0.0032,-0.0089,-0.0014,-0.0279,-0.0010,
04-Sep-92,0.0032,0.0060,-0.0054,0.0279,0.0028,
07-Sep-92,-0.0256,-0.0149,-0.0193,-0.0279,-0.0113,
