date,anz,cba,nab,wbc,xaoai,xfjai
2/01/1992,-0.0126,-0.0025,-0.0025,-0.0054,-0.0011,
3/01/1992,-0.0021,0,0.0038,0,0.007,
6/01/1992,0.0126,0.0025,0.0112,-0.0022,0.0094,
7/01/1992,0.0021,-0.0038,0.0025,-0.0159,-0.0044,
8/01/1992,0.0041,-0.0013,0.0037,-0.0208,-0.0025,
9/01/1992,0.0021,0.0025,0.0061,0.0139,-0.0008,
10/01/1992,0.0082,0,0,0.016,0.0036,
13/01/1992,-0.0082,-0.0192,-0.0098,-0.016,-0.0043,
14/01/1992,-0.0188,-0.0117,-0.005,-0.0116,-0.0054,
15/01/1992,0.0126,0.0181,0.0086,0.0139,0.0143,
16/01/1992,-0.0295,-0.026,0,-0.0162,-0.0013,
17/01/1992,-0.0021,-0.024,-0.0049,-0.0094,0,
20/01/1992,-0.0065,-0.0081,0.0049,-0.0142,-0.0036,
21/01/1992,-0.0307,0.0027,-0.0161,-0.0048,-0.0125,
22/01/1992,-0.0067,0.0081,-0.0164,0.0072,-0.0094,
23/01/1992,0.0067,0.0013,-0.0077,0.0048,0.0025,
24/01/1992,-0.0271,-0.0054,-0.0273,-0.0167,-0.0121,
27/01/1992,0,0,0,0,0,
28/01/1992,0.0181,0,0.0092,0.0048,0.0064,
29/01/1992,-0.039,-0.0014,-0.0065,-0.0169,-0.0023,
30/01/1992,-0.0189,-0.0095,-0.0119,-0.0197,-0.0061,
31/01/1992,0,-0.0014,0.0093,0.039,0.0066,
3/02/1992,-0.0072,-0.0069,-0.0066,0,-0.0071,
4/02/1992,-0.0145,-0.0152,-0.012,0.0024,-0.0066,
5/02/1992,0.0024,-0.0056,0.0027,-0.0024,0.0017,
6/02/1992,-0.0024,-0.0099,0.0027,0.0095,-0.0048,
7/02/1992,-0.0098,-0.0201,0,0.0024,-0.0019,
10/02/1992,-0.0049,0.0299,0.0053,0,0.0025,
11/02/1992,0.0123,0.0208,0.0053,0.0118,0.0129,
12/02/1992,0,-0.0097,-0.0146,-0.0213,0.001,
13/02/1992,0.0033,-0.0056,0.0013,-0.0048,0.0035,
14/02/1992,-0.0149,-0.0141,-0.0081,-0.0194,-0.0024,
17/02/1992,0.005,0.0056,0.004,-0.0049,-0.0029,
18/02/1992,0.0025,0.0042,0.0027,0.0025,0.008,
19/02/1992,0.0025,0.0098,0,-0.0025,-0.003,
20/02/1992,0.0025,0.0083,-0.0054,-0.0025,0.0004,
21/02/1992,0,-0.0041,0.0013,-0.0124,-0.0009,
24/02/1992,0,0.0096,0.0027,0.0025,0.0034,
25/02/1992,0.0074,0.019,0.016,0.0197,0.0082,
26/02/1992,0.0146,0.0013,0.0026,-0.0049,-0.0009,
27/02/1992,-0.0097,-0.0054,-0.0079,-0.0173,-0.0089,
28/02/1992,-0.0024,0.004,-0.0093,0.0025,-0.0056,
2/03/1992,0.0122,0.0147,0.0146,0.0197,0.007,
3/03/1992,-0.0073,0.0079,-0.0093,-0.0098,-0.0023,
4/03/1992,-0.0073,-0.0146,-0.004,-0.0249,-0.004,
5/03/1992,0,0.0053,-0.0013,-0.0051,-0.0041,
6/03/1992,0,-0.0013,-0.004,-0.0231,-0.002,
9/03/1992,0,-0.004,0.0013,-0.0026,-0.004,
10/03/1992,0,0.0013,0.0027,0.0206,0.0045,
11/03/1992,-0.0049,-0.008,-0.004,-0.0026,0.0024,
12/03/1992,-0.0199,-0.004,-0.0122,-0.0181,-0.0107,
13/03/1992,0,-0.0027,0,0,-0.0017,
16/03/1992,0.005,-0.0054,-0.0068,-0.0078,-0.0003,
17/03/1992,-0.0279,-0.0109,-0.0069,-0.0026,-0.005,
18/03/1992,-0.0026,0,0,-0.0026,-0.0068,
19/03/1992,-0.0026,0.0014,0.0096,0.0105,0.0027,
20/03/1992,0.0179,-0.0014,0.0054,0.0181,0.008,
23/03/1992,0.0025,-0.0014,0.0054,-0.0026,0.0018,
